,Store,Brand,Type,Gender,Size,Color,Category,Sales.Price,Date,Time,Loyalty,Month,NA.,test
1,Tokyo,Asics,WB2585,Female,39,Black,Pants,99,7/15/15,1899-12-30 07:58:05,40444,7,29,1
2,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/15/15,1899-12-30 09:07:12,44414,7,29,2
3,Tokyo,Asics,Hera Deux Single Tab,Female,42-44,Black,Socks,12.99,7/15/15,1899-12-30 09:11:32,45506,7,29,3
4,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/15/15,1899-12-30 10:04:48,47264,7,29,
5,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/15/15,1899-12-30 10:06:15,---,7,29,
6,Tokyo,Asics,WB2585,Female,46,Black,Pants,99,7/15/15,1899-12-30 14:52:48,---,7,29,
7,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/15/15,1899-12-30 15:31:41,40145,7,29,
8,Tokyo,Asics,WB2585,Female,40,Black,Pants,99,7/15/15,1899-12-30 17:44:10,41614,7,29,
9,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/15/15,1899-12-30 18:59:03,---,7,29,
10,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/15/15,1899-12-30 19:03:22,40269,7,29,
11,Tokyo,Asics,WB2585,Female,40,Black,Pants,99,7/15/15,1899-12-30 19:36:29,---,7,29,
12,Tokyo,Asics,WB1820,Female,43,Black,Pants,89,7/15/15,1899-12-30 20:00:58,44254,7,29,
13,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Black,Socks,21,7/15/15,1899-12-30 22:01:56,42851,7,29,
14,Tokyo,Asics,WB1820,Female,41,Black,Pants,89,7/15/15,1899-12-30 22:45:08,49693,7,29,
15,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/15/15,1899-12-30 23:13:56,---,7,29,
16,Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Black,Socks,24.99,7/15/15,1899-12-30 10:02:11,30730,7,29,
17,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/15/15,1899-12-30 11:01:06,38097,7,29,
18,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/15/15,1899-12-30 11:25:39,---,7,29,
19,Tokyo,Nike,Pro Fierce,Female,70B,Black,Bra,149,7/15/15,1899-12-30 11:32:11,31535,7,29,
20,Tokyo,Asics,WB1820,Female,43,Black,Pants,89,7/15/15,1899-12-30 11:38:44,37578,7,29,
21,Tokyo,Asics,WB2585,Female,44,Black,Pants,99,7/15/15,1899-12-30 12:09:50,34811,7,29,
22,Tokyo,Asics,Hera Deux Single Tab,Female,38-40,Black,Socks,12.99,7/15/15,1899-12-30 13:18:33,30244,7,29,
23,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/15/15,1899-12-30 13:25:06,39412,7,29,
24,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/15/15,1899-12-30 13:31:39,37396,7,29,
25,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/15/15,1899-12-30 13:48:00,35333,7,29,
26,Tokyo,Asics,MB1878,Male,43,Black,Pants,99,7/15/15,1899-12-30 14:24:00,39449,7,29,
27,Tokyo,Asics,WB1820,Female,46,Black,Pants,89,7/15/15,1899-12-30 14:45:17,---,7,29,
