Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Final URL,Mobile final URL,Tracking template,Custom parameter,Headline 1,Headline 2,Description,Path 1,Path 2,Short headline,Long headline,Business name,Logo ID (responsive),Image ID (responsive),Campaign,Ad group,Status,Labels,Campaign type,Campaign subtype,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,All conv.,View-through conv.,Ad ID,Ad group ID,Ad type
enabled,Call back API,Initiate phone calls easily.,From/to regular phone numbers & SIP,sonetel.com/call_back_api,,http://sonetel.com/en/help/support-center/help-topics/api/call-back-api/,,,,,,,,,,,, --, --,New | English - North America - search,Call back API,ad group paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,74523574922,19104071882,Text ad
enabled,Phone numbers,"In Romania, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Romania,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675402282,5196906122,Text ad
enabled,Virtual number forwarding,"In Peru, from $7.80/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Peru,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675403122,5196903842,Text ad
enabled,VOIP Numbers,"In Spain, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Spain,approved, --,Search Only,All features,0,3,0.00%,0,0,4,0,0,0.00%,0,0,80675400362,5196911762,Text ad
enabled,Phone numbers,"In Slovakia, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Slovakia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675402642,5196902522,Text ad
paused,VOIP Numbers,"In Argentina, from $8,80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Venezuela,paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675403602,21756261602,Text ad
enabled,Virtual number forwarding,"In China, from $19.90/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - China,approved, --,Search Only,All features,1,15,6.67%,23.99,23.99,2.1,0,0,0.00%,0,0,80675403722,21747927362,Text ad
enabled,Online Phone Number,Have a local phone number anywhere.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/online-number/,http://sonetel.com/en/l/online-number/,,,,,,,,,,, --, --,New | English - North America - search,Online phone number,approved, --,Search Only,All features,1,3,33.33%,9.19,9.19,3.7,0,0,0.00%,0,0,80675406602,17271599522,Text ad
enabled,Phone numbers,"In France, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - France,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675409962,5196893282,Text ad
enabled,VOIP Numbers,In the Dominican Republic.,Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Dominican Republic,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675410922,5196890402,Text ad
enabled,VOIP Numbers,"In Denmark, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Denmark,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675415482,5196910442,Text ad
