Date,bedTime,Day,secondsAsleep,timeAsleep
15-Aug-15,11:45PM,7,24300,6.75
16-Aug-15,11:30PM,1,24660,6.85
17-Aug-15,11:00PM,2,50340,13.98
18-Aug-15,10:52PM,3,24780,6.88
20-Aug-15,10:42PM,5,25560,7.1
21-Aug-15,09:30PM,6,30600,8.5
22-Aug-15,10:48PM,7,31140,8.65
23-Aug-15,11:16PM,1,26880,7.47
24-Aug-15,10:45PM,2,26940,7.48
25-Aug-15,10:20PM,3,29040,8.07
26-Aug-15,10:46PM,4,23400,6.5
27-Aug-15,11:34PM,5,23160,6.43
28-Aug-15,11:12PM,6,24720,6.87
30-Aug-15,12:09AM,1,24120,6.7
30-Aug-15,10:47PM,1,29460,8.18
31-Aug-15,10:59AM,2,0,0
31-Aug-15,10:22PM,2,29340,8.15
1-Sep-15,10:05PM,3,30180,8.38
2-Sep-15,10:02PM,4,30120,8.37
3-Sep-15,10:46PM,5,25980,7.22
5-Sep-15,12:28AM,7,24600,6.83
14-Sep-15,10:26PM,2,28620,7.95
15-Sep-15,11:10PM,3,24240,6.73
16-Sep-15,10:57PM,4,26640,7.4
17-Sep-15,10:48PM,5,27420,7.62
19-Sep-15,12:00AM,7,26760,7.43
19-Sep-15,11:45PM,7,26640,7.4
20-Sep-15,10:51PM,1,27540,7.65
21-Sep-15,10:39PM,2,27720,7.7
22-Sep-15,10:48PM,3,27180,7.55
23-Sep-15,11:23PM,4,24540,6.82
24-Sep-15,11:32PM,5,24900,6.92
25-Sep-15,11:30PM,6,24420,6.78
27-Sep-15,12:04AM,1,29640,8.23
27-Sep-15,11:14PM,1,25980,7.22
28-Sep-15,10:25PM,2,28800,8
30-Sep-15,12:56AM,4,20940,5.82
30-Sep-15,10:40PM,4,29100,8.08
1-Oct-15,11:43PM,5,23580,6.55
3-Oct-15,01:00AM,7,18060,5.02
4-Oct-15,12:47AM,1,23340,6.48
4-Oct-15,11:45PM,1,24720,6.87
5-Oct-15,11:59PM,2,25560,7.1
8-Oct-15,09:10AM,5,15240,4.23
9-Oct-15,05:45AM,6,18180,5.05
10-Oct-15,06:23AM,7,17220,4.78
11-Oct-15,05:59AM,1,25200,7
12-Oct-15,07:11AM,2,21000,5.83
13-Oct-15,04:49AM,3,28560,7.93
14-Oct-15,06:49AM,4,23700,6.58
15-Oct-15,06:38AM,5,27480,7.63
16-Oct-15,04:56AM,6,29820,8.28
17-Oct-15,06:45AM,7,18720,5.2
18-Oct-15,06:22AM,1,25860,7.18
19-Oct-15,05:21AM,2,26880,7.47
20-Oct-15,06:13AM,3,27660,7.68
20-Oct-15,04:15PM,3,77880,21.63
22-Oct-15,07:15AM,5,21420,5.95
23-Oct-15,07:48PM,6,15480,4.3
24-Oct-15,03:14AM,7,36420,10.12
25-Oct-15,02:05AM,1,32280,8.97
26-Oct-15,12:30AM,2,9300,2.58
26-Oct-15,03:26AM,2,12600,3.5
26-Oct-15,10:32PM,2,29160,8.1
27-Oct-15,10:43PM,3,28080,7.8
28-Oct-15,09:24PM,4,32880,9.13
29-Oct-15,11:48PM,5,25260,7.02
30-Oct-15,10:11PM,6,30540,8.48
2-Nov-15,12:19AM,2,22320,6.2
2-Nov-15,11:30PM,2,25260,7.02
3-Nov-15,11:36PM,3,27300,7.58
5-Nov-15,12:11AM,5,24840,6.9
6-Nov-15,01:11AM,6,23040,6.4
7-Nov-15,12:48AM,7,29820,8.28
7-Nov-15,11:54PM,7,26700,7.42
8-Nov-15,11:51PM,1,24000,6.67
9-Nov-15,10:29PM,2,28860,8.02
10-Nov-15,11:45PM,3,28980,8.05
12-Nov-15,12:36AM,5,28800,8
12-Nov-15,10:37PM,5,28680,7.97
14-Nov-15,12:47AM,7,25080,6.97
15-Nov-15,12:40AM,1,29040,8.07
15-Nov-15,11:31PM,1,25140,6.98
16-Nov-15,11:05PM,2,27600,7.67
17-Nov-15,11:42PM,3,25200,7
18-Nov-15,10:18PM,4,28920,8.03
19-Nov-15,10:52PM,5,28140,7.82
20-Nov-15,11:54PM,6,28380,7.88
21-Nov-15,10:47PM,7,26760,7.43
22-Nov-15,11:11PM,1,29940,8.32
23-Nov-15,11:09PM,2,28860,8.02
24-Nov-15,11:59PM,3,29460,8.18
25-Nov-15,09:19PM,4,33180,9.22
26-Nov-15,11:47PM,5,24600,6.83
28-Nov-15,12:00AM,7,25260,7.02
29-Nov-15,12:10AM,1,30720,8.53
29-Nov-15,11:23PM,1,27960,7.77
30-Nov-15,11:17PM,2,27840,7.73
1-Dec-15,10:45PM,3,29580,8.22
2-Dec-15,11:00PM,4,27120,7.53
4-Dec-15,12:00AM,6,25200,7
5-Dec-15,12:18AM,7,26100,7.25
5-Dec-15,11:06PM,7,30240,8.4
7-Dec-15,12:05AM,2,23400,6.5
8-Dec-15,12:00AM,3,22320,6.2
9-Dec-15,01:12AM,4,20220,5.62
9-Dec-15,11:42PM,4,26820,7.45
10-Dec-15,11:01PM,5,28200,7.83
12-Dec-15,12:45AM,7,22080,6.13
12-Dec-15,11:13PM,7,28260,7.85
14-Dec-15,12:08AM,2,23100,6.42
14-Dec-15,11:22PM,2,24600,6.83
15-Dec-15,11:31PM,3,27780,7.72
17-Dec-15,12:42AM,5,21720,6.03
17-Dec-15,09:29PM,5,33900,9.42
18-Dec-15,11:46PM,6,26520,7.37
19-Dec-15,12:45PM,7,6900,1.92
20-Dec-15,12:15AM,1,29040,8.07
21-Dec-15,12:43AM,2,28200,7.83
22-Dec-15,12:10AM,3,28800,8
22-Dec-15,11:38PM,3,34020,9.45
24-Dec-15,12:54AM,5,29820,8.28
25-Dec-15,12:40AM,6,30780,8.55
26-Dec-15,01:25AM,7,25020,6.95
26-Dec-15,11:24PM,7,34800,9.67
27-Dec-15,03:41PM,1,4080,1.13
27-Dec-15,11:53PM,1,25860,7.18
28-Dec-15,07:31AM,2,4380,1.22
28-Dec-15,11:51PM,2,32460,9.02
30-Dec-15,12:19AM,4,31920,8.87
31-Dec-15,01:38AM,5,25560,7.1
1-Jan-16,01:37AM,6,27900,7.75
2-Jan-16,02:02AM,7,24420,6.78
3-Jan-16,12:47AM,1,30480,8.47
3-Jan-16,11:22PM,1,26640,7.4
4-Jan-16,11:39PM,2,18780,5.22
5-Jan-16,10:45PM,3,30240,8.4
6-Jan-16,11:24PM,4,25800,7.17
8-Jan-16,12:03AM,6,25200,7
9-Jan-16,12:41AM,7,19800,5.5
10-Jan-16,12:46AM,1,25800,7.17
11-Jan-16,12:30AM,2,21720,6.03
11-Jan-16,11:43PM,2,22980,6.38
12-Jan-16,11:27PM,3,25920,7.2
13-Jan-16,11:45PM,4,24540,6.82
15-Jan-16,01:15AM,6,20580,5.72
15-Jan-16,10:26PM,6,10200,2.83
17-Jan-16,01:02AM,1,19260,5.35
18-Jan-16,12:13AM,2,23400,6.5
18-Jan-16,11:56PM,2,24060,6.68
19-Jan-16,08:24PM,3,35880,9.97
20-Jan-16,10:12PM,4,28800,8
21-Jan-16,10:54PM,5,28200,7.83
22-Jan-16,10:53PM,6,28800,8
23-Jan-16,12:14PM,7,4440,1.23
23-Jan-16,10:15PM,7,26940,7.48
24-Jan-16,01:19PM,1,28140,7.82
25-Jan-16,10:49PM,2,28500,7.92
27-Jan-16,01:04AM,4,19980,5.55
28-Jan-16,12:03AM,5,19740,5.48
28-Jan-16,11:40PM,5,25860,7.18
30-Jan-16,12:46AM,7,14520,4.03
30-Jan-16,08:48AM,7,7080,1.97
30-Jan-16,10:44PM,7,25560,7.1
1-Feb-16,12:35AM,2,24060,6.68
2-Feb-16,01:39AM,3,20820,5.78
2-Feb-16,08:28PM,3,31380,8.72
4-Feb-16,01:17AM,5,21960,6.1
4-Feb-16,11:58PM,5,24360,6.77
6-Feb-16,12:03AM,7,9900,2.75
6-Feb-16,12:42PM,7,10140,2.82
